"SitemapKind","Url","DecodedPath","Status","ContentType","Bytes","ContentSha256","Canonical","SelfCanonical","HtmlLang","HtmlDir","Title","TitleLength","MetaDescription","MetaDescriptionLength","H1Count","FirstH1","H2Count","ApproximateRenderedWordCount","MainH1Count","MainFirstH1","MainH2Count","ApproximateMainWordCount","InternalLinkOccurrences","UniqueInternalDestinations","MainInternalLinkOccurrences","MainUniqueInternalDestinations","ImageCount","ImagesWithAltAttribute","ImagesWithNonEmptyAlt","OgImage","SchemaTypes","PublishedTime","ModifiedTime"
"post","https://thai-land.co.il/%d7%91%d7%a0%d7%92%d7%a7%d7%95%d7%a7-%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/בנגקוק-תאילנד/","200","text/html; charset=UTF-8","139809","52446f8e92a21eb01127266cfac7ef3ff7a4a2af328a85508f4ef8af67c30e38","https://thai-land.co.il/בנגקוק-תאילנד/","True","he-IL","rtl","בנגקוק תאילנד | להיות בתאילנד","29",,"0","2","להיות בתאילנד","1","7084","1","בנגקוק תאילנד","1","6633","72","38","0","0","2","2","2","https://thai-land.co.il/wp-content/uploads/2022/06/bankok-flag.png","","2022-06-11T10:53:58+00:00","2022-06-18T14:23:57+00:00"
"post","https://thai-land.co.il/%d7%90%d7%95%d7%93%d7%95%d7%aa/","/אודות/","200","text/html; charset=UTF-8","73290","5cacbaf2ebe106e9db511da57c3e6640dfe2620f6c9f45d051d7eed5aef36b6f","https://thai-land.co.il/אודות/","True","he-IL","rtl","אודות | להיות בתאילנד","21",,"0","2","להיות בתאילנד","0","879","1","אודות","0","430","72","39","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-05-09T17:16:14+00:00","2022-06-18T14:25:42+00:00"
"post","https://thai-land.co.il/%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%9c%d7%94%d7%a9%d7%9b%d7%a8%d7%aa-%d7%93%d7%99%d7%a8%d7%94-%d7%91%d7%91%d7%a0%d7%92%d7%a7%d7%95%d7%a7/","/מדריך-להשכרת-דירה-בבנגקוק/","200","text/html; charset=UTF-8","111129","8f8f41c800a9b7b3cd69822bef8578d1b813324c3dec9916702451df9838982c","https://thai-land.co.il/מדריך-להשכרת-דירה-בבנגקוק/","True","he-IL","rtl","מדריך להשכרת דירה בבנגקוק | דירות להשכרה | להיות בתאילנד","56","%","1","2","להיות בתאילנד","0","4552","1","מדריך להשכרת דירה בבנגקוק","0","4094","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-05-07T15:32:13+00:00","2022-08-20T16:13:11+00:00"
"post","https://thai-land.co.il/%d7%9b%d7%9c%d7%9b%d7%9c%d7%aa-%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/כלכלת-תאילנד/","200","text/html; charset=UTF-8","138566","ab8d0ffef0a41039cb83048d17b7775ead8c33eef69aa16aca3bb32b5a69c1a9","https://thai-land.co.il/כלכלת-תאילנד/","True","he-IL","rtl","כלכלת תאילנד | להיות בתאילנד","28",,"0","2","להיות בתאילנד","0","6875","1","כלכלת תאילנד","0","6424","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-08-26T16:08:43+00:00","2022-08-26T16:12:39+00:00"
"post","https://thai-land.co.il/%d7%aa%d7%99%d7%99%d7%a8%d7%95%d7%aa-%d7%91%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/תיירות-בתאילנד/","200","text/html; charset=UTF-8","93223","0bcf57b3cc9b905a2e53e870ed549f70d75ffdf9c222fcacfc3eaa0d59d51c93","https://thai-land.co.il/תיירות-בתאילנד/","True","he-IL","rtl","תיירות בתאילנד | להיות בתאילנד","30",,"0","2","להיות בתאילנד","0","2669","1","תיירות בתאילנד","0","2218","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-08-27T13:49:59+00:00","2022-08-27T14:14:46+00:00"
"post","https://thai-land.co.il/%d7%9e%d7%94%d7%95-%d7%94%d7%96%d7%9e%d7%9f-%d7%94%d7%98%d7%95%d7%91-%d7%91%d7%99%d7%95%d7%aa%d7%a8-%d7%9c%d7%97%d7%95%d7%a4%d7%a9%d7%94-%d7%91%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/מהו-הזמן-הטוב-ביותר-לחופשה-בתאילנד/","200","text/html; charset=UTF-8","75586","31aeac563550dcf4bf8d814addcbd33c1d4a67e04a3b3a18739e5e1cb90961b1","https://thai-land.co.il/מהו-הזמן-הטוב-ביותר-לחופשה-בתאילנד/","True","he-IL","rtl","מהו הזמן הטוב ביותר לחופשה בתאילנד? | להיות בתאילנד","51",,"0","2","להיות בתאילנד","0","1060","1","מהו הזמן הטוב ביותר לחופשה בתאילנד?","0","601","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-09-06T17:27:54+00:00","2022-09-06T17:29:07+00:00"
"post","https://thai-land.co.il/%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93-%d7%94%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%94%d7%9e%d7%9c%d7%90-%d7%94%d7%9b%d7%9c-%d7%a2%d7%9c-%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93-%d7%95%d7%94%d7%9e%d7%9c%d7%a6/","/תאילנד-המדריך-המלא-הכל-על-תאילנד-והמלצ/","200","text/html; charset=UTF-8","191407","1dec3e0c3029b701fef8a0ea3f7f44e3533537525a26109796812c53e74566aa","https://thai-land.co.il/תאילנד-המדריך-המלא-הכל-על-תאילנד-והמלצ/","True","he-IL","rtl","תאילנד המדריך המלא | הכל על תאילנד והמלצות לטיולים | להיות בתאילנד","66",,"0","2","להיות בתאילנד","0","11762","1","תאילנד המדריך המלא | הכל על תאילנד והמלצות לטיולים","0","11297","73","38","1","1","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-03-28T13:01:40+00:00","2022-09-09T21:26:54+00:00"
"post","https://thai-land.co.il/%d7%95%d7%99%d7%96%d7%aa-%d7%aa%d7%99%d7%99%d7%a8%d7%99%d7%9d-%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/ויזת-תיירים-תאילנד/","200","text/html; charset=UTF-8","73275","39d9db44273f31dd547ff1675a3673d0d4ecaf5b4a6e7df2792cbc2b488ebc62","https://thai-land.co.il/ויזת-תיירים-תאילנד/","True","he-IL","rtl","ויזת תיירים תאילנד | להיות בתאילנד","34",,"0","2","להיות בתאילנד","0","957","1","ויזת תיירים תאילנד","0","504","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-09-18T16:27:46+00:00",
"post","https://thai-land.co.il/%d7%94%d7%a0%d7%a4%d7%a7%d7%aa-%d7%95%d7%99%d7%96%d7%94-%d7%9c%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93-%d7%a1%d7%95%d7%92%d7%99-%d7%95%d7%99%d7%96%d7%95%d7%aa-%d7%95%d7%90%d7%a9%d7%a8%d7%95%d7%aa-%d7%aa/","/הנפקת-ויזה-לתאילנד-סוגי-ויזות-ואשרות-ת/","200","text/html; charset=UTF-8","106858","8e2b1cc3c08f63f359e406d4c70ff8b9c519605cb84c8eac897e598b1a167242","https://thai-land.co.il/הנפקת-ויזה-לתאילנד-סוגי-ויזות-ואשרות-ת/","True","he-IL","rtl","הנפקת ויזה לתאילנד | שירות ויזות ואשרות תאילנד | להיות בתאילנד","62",,"0","3","להיות בתאילנד","0","3989","2","הנפקת ויזה לתאילנד | שירות ויזות ואשרות תאילנד","0","3526","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-09-18T16:46:18+00:00","2022-09-18T16:53:36+00:00"
"post","https://thai-land.co.il/%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%a2%d7%91%d7%95%d7%93%d7%94-%d7%91%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/אישור-עבודה-בתאילנד/","200","text/html; charset=UTF-8","92558","bc375bcb946febb264960c5ed8a60755030db2e36911bbc530643e6f3f936094","https://thai-land.co.il/אישור-עבודה-בתאילנד/","True","he-IL","rtl","אישור עבודה בתאילנד | להיות בתאילנד","35",,"0","2","להיות בתאילנד","0","2722","1","אישור עבודה בתאילנד","0","2269","72","38","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","2022-09-18T16:41:24+00:00","2022-09-18T17:13:09+00:00"
