"SitemapKind","Url","DecodedPath","Status","ContentType","Bytes","ContentSha256","Canonical","SelfCanonical","HtmlLang","HtmlDir","Title","TitleLength","MetaDescription","MetaDescriptionLength","H1Count","FirstH1","H2Count","ApproximateRenderedWordCount","MainH1Count","MainFirstH1","MainH2Count","ApproximateMainWordCount","InternalLinkOccurrences","UniqueInternalDestinations","MainInternalLinkOccurrences","MainUniqueInternalDestinations","ImageCount","ImagesWithAltAttribute","ImagesWithNonEmptyAlt","OgImage","SchemaTypes","PublishedTime","ModifiedTime"
"category-extra","https://thai-land.co.il/category/%d7%9e%d7%9c%d7%95%d7%9f-%d7%9b%d7%9c-%d7%a1%d7%95%d7%92%d7%99-%d7%94%d7%9e%d7%9c%d7%95%d7%a0%d7%95%d7%aa/","/category/מלון-כל-סוגי-המלונות/","200","text/html; charset=UTF-8","285141","8f3d52fa8f0b6d3be6f6fe6dc3d250cdc6609a853b8e289d9cc34153a24db024","https://thai-land.co.il/category/מלון-כל-סוגי-המלונות/","True","he-IL","rtl","מלון | כל סוגי המלונות | להיות בתאילנד","38","","0","2","להיות בתאילנד","0","10743","1","קטגוריה: מלון | כל סוגי המלונות","0","10267","72","60","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","",""
"category-extra","https://thai-land.co.il/category/%d7%a4%d7%95%d7%a7%d7%98-phuket/","/category/פוקט-phuket/","200","text/html; charset=UTF-8","255157","0f17038be786a9fd341193681d85ee1c3275c86e820fa943ce8ecfc74a5940f9","https://thai-land.co.il/category/פוקט-phuket/","True","he-IL","rtl","פוקט phuket | להיות בתאילנד","27","","0","2","להיות בתאילנד","0","9543","1","קטגוריה: פוקט phuket","0","9073","72","60","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","",""
"category-extra","https://thai-land.co.il/category/%d7%a7%d7%95-%d7%a1%d7%9e%d7%95%d7%99-ko-samui-%d7%aa%d7%90%d7%99%d7%9c%d7%a0%d7%93/","/category/קו-סמוי-ko-samui-תאילנד/","200","text/html; charset=UTF-8","118430","5b5150464d33dc913b80df3811a5d0e8755b03edfdabb2984b11c03f495203f5","https://thai-land.co.il/category/קו-סמוי-ko-samui-תאילנד/","True","he-IL","rtl","קו סמוי Ko Samui | להיות בתאילנד","32","","0","2","להיות בתאילנד","0","2942","1","קטגוריה: קו סמוי Ko Samui","0","2468","72","60","0","0","1","1","1","https://thai-land.co.il/wp-content/uploads/2022/03/cropped-thailand-free-info.jpg","","",""
